IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
1113265-12-LE26;ADQUISICIÓN E IMPLEMENTACIÓN DE PLATAFORMA;LE;Publicada y disponible para ofertar;11/08/2026 20:20:00;ha requerido contratar el servicio de provisión, implementación, integración, soporte y mantención de una plataforma web tecnológica, en modalidad SaaS Software como Servicio, para la gestión estratégica de la permanencia y trayectoria estudiantil, que permita gestionar la retención, el seguimiento a la progresión y la trayectoria académica, como apoyo a los procesos asociados al Modelo de Acompañamiento a la Trayectoria del Estudiante MAPE del CFTE de la Región de Antofagasta.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;CENTRO DE FORMACION TECNICA DE LA REGION DE ANTOFAGASTA
2201-30-LE26;SERVICIO DE ARRIENDO DE EQUIPOS Y SERVICIO DE EMISIÓN Y TRANSACCIÓN DE LICENCIAS MÉDICAS ELECTRÓNICAS;LE;Publicada y disponible para ofertar;21/08/2026 11:25:27;Las presentes Bases tienen por objeto regular el proceso de licitación y la adjudicación del contrato, estableciendo las disposiciones generales que regirán la Licitación Pública que celebre el Instituto para la contratación del “Servicio de Arriendo de Equipos y Servicio de Emisión y Transacción de Licencias Médicas Electrónicas para el Instituto Nacional de Rehabilitación Pedro Aguirre Cerda”, por un periodo de 36 meses o hasta agotar presupuesto, lo primero que ocurra.;CLP;PUBLICADO;DISPONIBLE;7.200.000;INSTITUTO NACIONAL DE REHABILITACION PEDRO AGUIRRE CERDA
894778-6-LE26;Adquisición de licencias AntiSpam;LE;Publicada y disponible para ofertar;26/08/2026 12:30:52;La Subsecretaría de Interior, a través de la División de Redes y Seguridad Informática, tiene el compromiso de proporcionar seguridad en los distintos puntos de accesos de la información para los entes gubernamentales, con el objetivo de reducir el riesgo y promover buenas prácticas en materia de prevención de correos maliciosos. En este contexto, esta Subsecretaría requiere continuar con una solución que permita prevenir y restringir la recepción de correos maliciosos, para lo cual solicita adquirir licencias AntiSpam.;CLP;PUBLICADO;DISPONIBLE;20.000.000;SUBSECRETARIA DEL INTERIOR
750998-58-LE26;EQUIPAMIENTO COMPUTACIONAL PARA  FUNCION INTERNA;LE;Publicada y disponible para ofertar;14/08/2026 15:50:00;Actualizar y fortalecer la infraestructura tecnológica del municipio, asegurando la operación estable y segura, conforme a los estándares actuales de los sistemas institucionales, incluyendo las plataformas críticas de gestión administrativa y de información.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE LO ESPEJO
3084-30-LR26;CONTRATACIÓN SERVICIO DE SUSCRIPCIÓN DE LICENCIAS;LR;Publicada y disponible para ofertar;19/08/2026 16:00:43;CONTRATACIÓN SERVICIO DE SUSCRIPCIÓN DE LICENCIAS;USD;PUBLICADO;DISPONIBLE;399.041,00;DIRECCION DE ABASTECIMIENTO DE LA ARMADA
1431841-53-LE26;ADQUISICIÓN DE CREDITOS GOOGLE CLOUD PLATFORM;LE;Publicada y disponible para ofertar;19/08/2026 10:27:05;La Municipalidad de Recoleta, a través de su Dirección de Tecnologías de la Información, requiere la adquisición de créditos para Google Cloud Platform GCP por un período de un año, con el fin de soportar la operación, desarrollo y escalabilidad de la aplicación Tarjeta Vecino y otras plataformas municipales críticas, garantizando alta disponibilidad, seguridad, continuidad operativa y cumplimiento de la normativa vigente en materia de ciberseguridad y protección de datos personales.;CLP;PUBLICADO;DISPONIBLE;15.000.000;I MUNICIPALIDAD DE RECOLETA
1020-40-LP26;Serv.Cloud Amazon Web Services AWS o Equivalente;LP;Publicada y disponible para ofertar;20/08/2026 15:39:07;El objetivo de la presente contratación es disponer de un servicio en la nube destinado a alojar los gestores documentales del Ministerio de Obras Públicas MOP y los datos institucionales del MOP, incluyendo el respaldo de repositorios, la gestión de contenedores, aplicaciones y otros datos actualmente alojados en infraestructura propia del Ministerio.;USD;PUBLICADO;ESTIMADO;295.121,00;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
701-20-LP26;LICENCIAS MICROSOFT OFFICE 365 E3 CON TEAMS;LP;Publicada y disponible para ofertar;25/08/2026 15:10:04;Adquisición de 1.240 licencias de Microsoft Office 365 E3 con Teams;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;SERV NACIONAL DE PESCA
1271178-35-LP26;Servicio de agendamiento remoto de citas clínicas;LP;Publicada y disponible para ofertar;12/08/2026 10:57:58;La Corporación Municipal de Desarrollo Social de Macul, en adelante también la “Corporación”, requiere contratar el servicio de agendamiento remoto de citas clínicas para los centros de salud, cuyo propósito es facilitar el acceso a la atención y optimizar la gestión de horas médicas.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;CORPORACION MUNICIPAL DE DESARROLLO SOCIAL DE MACUL
1111089-18-LP26;ADQUISICIÓN DE LICENCIAS IBM;LP;Publicada y disponible para ofertar;21/08/2026 15:47:05;La Agencia Nacional de Investigación y Desarrollo, ANID, requiere contar con el licenciamiento para el motor de base de datos Informix y licencias Digital Business Automation Express utilizadas por ANID, para el uso de sistemas de postulación y evaluación.;CLP;PUBLICADO;DISPONIBLE;82.000.000;Comisión Nacional de Investigación Científica y Tecnológicas - CONICYT
